trip_id,route_id,service_id
BUS_TRIP_42,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_43,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_44,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_45,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_46,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_47,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_48,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_49,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_50,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_51,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_52,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_53,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_54,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_55,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_56,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_57,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_58,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_59,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_60,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_61,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_62,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_63,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_64,BUS_ROUTE_1,WEEKDAY
BUS_TRIP_65,BUS_ROUTE_1,WEEKDAY
